variableName,method,scaleToken,alpha
--color-checks-logline-error-num-text,hex,scale.red.2,
--color-checks-logline-error-bg,rgba,scale.red.2,0.15
--color-checks-logline-warning-text,hex,scale.gray.2,
--color-checks-logline-warning-num-text,hex,scale.yellow.3,
--color-checks-logline-warning-bg,rgba,scale.yellow.6,0.15
--color-checks-logline-command-text,hex,scale.blue.3,
--color-checks-logline-section-text,hex,scale.green.3,
--color-checks-ansi-black,hex,scale.gray.9,
--color-checks-ansi-black-bright,hex,scale.gray.8,
--color-checks-ansi-white,hex,scale.gray.2,
--color-checks-ansi-white-bright,hex,scale.gray.2,
--color-checks-ansi-gray,hex,scale.gray.4,
--color-checks-ansi-red,hex,scale.red.3,
--color-checks-ansi-red-bright,hex,scale.red.2,
--color-checks-ansi-green,hex,scale.green.3,
--color-checks-ansi-green-bright,hex,scale.green.2,
--color-checks-ansi-yellow,hex,scale.yellow.3,
--color-checks-ansi-yellow-bright,hex,scale.yellow.2,
--color-checks-ansi-blue,hex,scale.blue.3,
--color-checks-ansi-blue-bright,hex,scale.blue.2,
--color-checks-ansi-magenta,hex,scale.purple.3,
--color-checks-ansi-magenta-bright,hex,scale.purple.2,
--color-checks-ansi-cyan,skip,,
--color-checks-ansi-cyan-bright,skip,,
,skip,,
--color-project-header-bg,hex,scale.gray.9,
--color-project-sidebar-bg,hex,scale.white,
--color-project-gradient-in,hex,scale.white,
--color-project-gradient-out,rgba,scale.white,0
,skip,,
--color-mktg-btn-bg,skip,,
--color-mktg-btn-shadow-outline,skip,,
--color-mktg-btn-shadow-focus,skip,,
--color-mktg-btn-shadow-hover,skip,,
--color-mktg-btn-shadow-hover-muted,skip,,
,skip,,
--color-control-border-color-emphasis,hex,scale.gray.4,
,skip,,
--color-avatar-bg,hex,scale.white,
--color-avatar-border,rgba,scale.black,0.15
--color-avatar-stack-fade,hex,scale.gray.3,
--color-avatar-stack-fade-more,hex,scale.gray.2,
--color-avatar-child-shadow,shadow,scale.white,0.8
,skip,,
--color-topic-tag-border,skip,,
,skip,,
--color-counter-border,skip,,
,skip,,
--color-select-menu-backdrop-border,skip,,
--color-select-menu-tap-highlight,rgba,scale.gray.3,0.5
--color-select-menu-tap-focus-bg,hex,scale.blue.1,
,skip,,
--color-overlay-shadow,shadow,scale.gray.7,0.12
--color-overlay-backdrop,rgba,scale.gray.4,0.2
,skip,,
--color-header-text,rgba,scale.white,0.7
--color-header-bg,hex,scale.gray.9,
--color-header-divider,hex,scale.gray.6,
--color-header-logo,hex,scale.white,
--color-header-search-bg,hex,scale.gray.9,
--color-header-search-border,hex,scale.gray.6,
--color-sidenav-selected-bg,hex,scale.white,
--color-menu-bg-active,skip,,
--color-input-disabled-bg,rgba,scale.gray.3,0.2
--color-timeline-badge-bg,hex,scale.gray.1 ,
,skip,,
--color-ansi-black,hex,scale.gray.9,
--color-ansi-black-bright,hex,scale.gray.6,
--color-ansi-white,hex,scale.gray.5,
--color-ansi-white-bright,hex,scale.gray.4,
--color-ansi-gray,hex,scale.gray.5,
--color-ansi-red,hex,scale.red.5,
--color-ansi-red-bright,hex,scale.red.6,
--color-ansi-green,hex,scale.green.6,
--color-ansi-green-bright,hex,scale.green.5,
--color-ansi-yellow,hex,scale.yellow.8,
--color-ansi-yellow-bright,hex,scale.yellow.7,
--color-ansi-blue,hex,scale.blue.5,
--color-ansi-blue-bright,hex,scale.blue.4,
--color-ansi-magenta,hex,scale.purple.5,
--color-ansi-magenta-bright,hex,scale.purple.4,
--color-ansi-cyan,skip,,
--color-ansi-cyan-bright,skip,,
,skip,,
--color-btn-text,hex,scale.gray.9,
--color-btn-bg,hex,scale.gray.0,
--color-btn-border,rgba,scale.black,0.15
--color-btn-shadow,shadow,scale.black,0.04
--color-btn-inset-shadow,shadow,scale.white,0.25
--color-btn-hover-bg,hex,scale.gray.1 ,
--color-btn-hover-border,rgba,scale.black,0.15
--color-btn-active-bg,hex,scale.gray.2,
--color-btn-active-border,rgba,scale.black,0.15
--color-btn-selected-bg,hex,scale.gray.2,
--color-btn-counter-bg,rgba,scale.black,0.08
,skip,,
--color-btn-primary-text,hex,scale.white,
--color-btn-primary-bg,hex,scale.green.5,
--color-btn-primary-border,rgba,scale.black,0.15
--color-btn-primary-shadow,shadow,scale.black,0.1
--color-btn-primary-inset-shadow,shadow,scale.white,0.03
--color-btn-primary-hover-bg,hex,scale.green.6,
--color-btn-primary-hover-border,rgba,scale.black,0.15
--color-btn-primary-selected-bg,hex,scale.green.7,
--color-btn-primary-selected-shadow,shadow,scale.green.9,0.2
--color-btn-primary-disabled-text,rgba,scale.white,0.8
--color-btn-primary-disabled-bg,hex,scale.green.2,
--color-btn-primary-disabled-border,rgba,scale.black,0.15
--color-btn-primary-icon,rgba,scale.white,0.8
--color-btn-primary-counter-bg,rgba,scale.green.9,0.2
,skip,,
--color-btn-outline-text,hex,scale.blue.5,
--color-btn-outline-hover-text,hex,scale.white,
--color-btn-outline-hover-bg,hex,scale.blue.5,
--color-btn-outline-hover-border,rgba,scale.black,0.15
--color-btn-outline-hover-shadow,shadow,scale.black,
--color-btn-outline-hover-inset-shadow,shadow,scale.white,0.03
--color-btn-outline-hover-counter-bg,rgba,scale.white,0.02
--color-btn-outline-selected-text,hex,scale.white,
--color-btn-outline-selected-bg,hex,scale.blue.6,
--color-btn-outline-selected-border,rgba,scale.black,0.15
--color-btn-outline-selected-shadow,shadow,scale.blue.9,0.2
--color-btn-outline-disabled-text,rgba,scale.blue.5,0.5
--color-btn-outline-disabled-bg,hex,scale.gray.0,
--color-btn-outline-disabled-counter-bg,rgba,scale.blue.5,0.05
--color-btn-outline-counter-bg,rgba,scale.blue.5,0.1
--color-btn-outline-counter-fg,hex,scale.blue.6,
--color-btn-outline-hover-counter-fg,hex,scale.white,
--color-btn-outline-disabled-counter-fg,rgba,scale.blue.5,0.5
,skip,,
--color-btn-danger-text,hex,scale.red.5,
--color-btn-danger-hover-text,hex,scale.white,
--color-btn-danger-hover-bg,hex,scale.red.6,
--color-btn-danger-hover-border,rgba,scale.black,0.15
--color-btn-danger-hover-shadow,shadow,scale.black,0.1
--color-btn-danger-hover-inset-shadow,shadow,scale.white,0.03
--color-btn-danger-hover-counter-bg,rgba,scale.white,0.2
--color-btn-danger-selected-text,hex,scale.white,
--color-btn-danger-selected-bg,hex,scale.red.7,
--color-btn-danger-selected-border,rgba,scale.black,0.15
--color-btn-danger-selected-shadow,shadow,scale.red.9,0.2
--color-btn-danger-disabled-text,rgba,scale.red.5,0.5
--color-btn-danger-disabled-bg,hex,scale.gray.0,
--color-btn-danger-disabled-counter-bg,rgba,scale.red.5,0.05
--color-btn-danger-counter-bg,rgba,scale.red.5,0.1
--color-btn-danger-icon,hex,scale.red.5,
--color-btn-danger-hover-icon,hex,scale.white,
--color-btn-danger-counter-fg,hex,scale.red.6,
--color-btn-danger-hover-counter-fg,hex,scale.white,
--color-btn-danger-disabled-counter-fg,rgba,scale.red.5,0.5
,skip,,
--color-underlinenav-icon,hex,scale.gray.5,
--color-underlinenav-border-hover,rgba,scale.gray.3,0.2
,skip,,
--color-action-list-item-inline-divider,rgba,scale.gray.2,0.48
--color-action-list-item-default-hover-bg,rgba,scale.gray.2,0.32
--color-action-list-item-default-hover-border,hex,scale.black,
--color-action-list-item-default-active-bg,rgba,scale.gray.2,0.48
--color-action-list-item-default-active-border,skip,,
--color-action-list-item-default-selected-bg,rgba,scale.gray.2,0.24
--color-action-list-item-danger-hover-bg,rgba,scale.red.0,0.64
--color-action-list-item-danger-active-bg,hex,scale.red.0,
--color-action-list-item-danger-hover-text,hex,scale.red.6,
,skip,,
--color-switch-track-bg,hex,scale.gray.1 ,
--color-switch-track-hover-bg,rgba,scale.gray.1 ,0.3
--color-switch-track-active-bg,rgba,scale.gray.1 ,0.5
--color-switch-track-disabled-bg,hex,scale.gray.4,
--color-switch-track-fg,hex,scale.gray.6,
--color-switch-track-disabled-fg,hex,scale.white,
--color-switch-track-border,skip,,
--color-switch-track-checked-bg,hex,scale.blue.5,
--color-switch-track-checked-hover-bg,rgba,scale.blue.7,0.2
--color-switch-track-checked-active-bg,rgba,scale.blue.7,0.2
--color-switch-track-checked-fg,hex,scale.white,
--color-switch-track-checked-disabled-fg,hex,scale.white,
--color-switch-track-checked-border,skip,,
--color-switch-knob-bg,hex,scale.white,
--color-switch-knob-disabled-bg,hex,scale.gray.0,
--color-switch-knob-border,hex,scale.gray.4,
--color-switch-knob-checked-bg,hex,scale.white,
--color-switch-knob-checked-disabled-bg,hex,scale.gray.0,
--color-switch-knob-checked-border,hex,scale.blue.5,
,skip,,
--color-segmented-control-bg,hex,scale.gray.1 ,
--color-segmented-control-button-bg,hex,scale.white,
--color-segmented-control-button-hover-bg,rgba,scale.gray.3,0.2
--color-segmented-control-button-active-bg,rgba,scale.gray.3,0.4
--color-segmented-control-button-selected-border,hex,scale.gray.4,
,skip,,
--color-tree-view-item-chevron-hover-bg,hex,scale.gray.2,
--color-tree-view-item-directory-fill,hex,scale.blue.3,
,skip,,
--color-canvas-default,hex,scale.white,
--color-canvas-overlay,hex,scale.white,
--color-canvas-inset,hex,scale.gray.0,
--color-canvas-subtle,hex,scale.gray.0,
,skip,,
--color-shadow-small,shadow,scale.black,0.04
--color-shadow-medium,shadow,scale.gray.4,0.15
--color-shadow-large,shadow,scale.gray.4,0.2
--color-shadow-extra-large,shadow,scale.gray.4,0.3
,skip,,
--color-fg-default,hex,scale.black,
--color-fg-muted,hex,scale.gray.6,
--color-fg-subtle,hex,scale.gray.5,
--color-fg-on-emphasis,hex,scale.white,
,skip,,
--color-border-default,hex,scale.gray.2,
--color-border-muted,rgba,scale.gray.2,0.75
--color-border-subtle,rgba,scale.black,0.15
,skip,,
--color-neutral-emphasis-plus,hex,scale.gray.9,
--color-neutral-emphasis,hex,scale.gray.5,
--color-neutral-muted,rgba,scale.gray.3,0.2
--color-neutral-subtle,rgba,scale.gray.1 ,0.5
,skip,,
--color-accent-fg,hex,scale.blue.5,
--color-accent-emphasis,hex,scale.blue.5,
--color-accent-muted,rgba,scale.blue.3,0.4
--color-accent-subtle,hex,scale.blue.0,
,skip,,
--color-success-fg,hex,scale.green.5,
--color-success-emphasis,hex,scale.green.5,
--color-success-muted,rgba,scale.green.3,0.4
--color-success-subtle,hex,scale.green.0,
,skip,,
--color-attention-fg,hex,scale.yellow.5,
--color-attention-emphasis,hex,scale.yellow.5,
--color-attention-muted,rgba,scale.yellow.3,0.4
--color-attention-subtle,hex,scale.yellow.0,
,skip,,
--color-severe-fg,hex,scale.orange.5,
--color-severe-emphasis,hex,scale.orange.5,
--color-severe-muted,rgba,scale.orange.3,0.4
--color-severe-subtle,hex,scale.orange.0,
,skip,,
--color-danger-fg,hex,scale.red.5,
--color-danger-emphasis,hex,scale.red.5,
--color-danger-muted,rgba,scale.red.3,0.4
--color-danger-subtle,hex,scale.red.0,
,skip,,
--color-open-fg,hex,scale.green.5,
--color-open-emphasis,hex,scale.green.5,
--color-open-muted,rgba,scale.green.3,0.4
--color-open-subtle,hex,scale.green.0,
,skip,,
--color-closed-fg,hex,scale.red.5,
--color-closed-emphasis,hex,scale.red.5,
--color-closed-muted,rgba,scale.red.3,0.4
--color-closed-subtle,hex,scale.red.0,
,skip,,
--color-done-fg,hex,scale.purple.5,
--color-done-emphasis,hex,scale.purple.5,
--color-done-muted,rgba,scale.purple.3,0.4
--color-done-subtle,hex,scale.purple.0,
,skip,,
--color-sponsors-fg,hex,scale.pink.5,
--color-sponsors-emphasis,hex,scale.pink.5,
--color-sponsors-muted,rgba,scale.pink.3,0.4
--color-sponsors-subtle,hex,scale.pink.0,
,skip,,
--color-primer-fg-disabled,hex,scale.gray.4,
--color-primer-canvas-backdrop,rgba,scale.black,0.5
--color-primer-canvas-sticky,rgba,scale.white,0.95
--color-primer-border-active,hex,scale.coral.3,
--color-primer-border-contrast,rgba,scale.black,0.1
--color-primer-shadow-highlight,shadow,scale.white,0.25
--color-primer-shadow-inset,shadow,scale.gray.2,0.2
,skip,,
--color-scale-black,hex,scale.black,
,skip,,
--color-scale-white,hex,scale.white,
,skip,,
--color-scale-gray-0,hex,scale.gray.0,
--color-scale-gray-1,hex,scale.gray.1 ,
--color-scale-gray-2,hex,scale.gray.2,
--color-scale-gray-3,hex,scale.gray.3,
--color-scale-gray-4,hex,scale.gray.4,
--color-scale-gray-5,hex,scale.gray.5,
--color-scale-gray-6,hex,scale.gray.6,
--color-scale-gray-7,hex,scale.gray.7,
--color-scale-gray-8,hex,scale.gray.8,
--color-scale-gray-9,hex,scale.gray.9,
,skip,,
--color-scale-blue-0,hex,scale.blue.0,
--color-scale-blue-1,hex,scale.blue.1,
--color-scale-blue-2,hex,scale.blue.2,
--color-scale-blue-3,hex,scale.blue.3,
--color-scale-blue-4,hex,scale.blue.4,
--color-scale-blue-5,hex,scale.blue.5,
--color-scale-blue-6,hex,scale.blue.6,
--color-scale-blue-7,hex,scale.blue.7,
--color-scale-blue-8,hex,scale.blue.8,
--color-scale-blue-9,hex,scale.blue.9,
,skip,,
--color-scale-green-0,hex,scale.green.0,
--color-scale-green-1,hex,scale.green.1,
--color-scale-green-2,hex,scale.green.2,
--color-scale-green-3,hex,scale.green.3,
--color-scale-green-4,hex,scale.green.4,
--color-scale-green-5,hex,scale.green.5,
--color-scale-green-6,hex,scale.green.6,
--color-scale-green-7,hex,scale.green.7,
--color-scale-green-8,hex,scale.green.8,
--color-scale-green-9,hex,scale.green.9,
,skip,,
--color-scale-yellow-0,hex,scale.yellow.0,
--color-scale-yellow-1,hex,scale.yellow.1,
--color-scale-yellow-2,hex,scale.yellow.2,
--color-scale-yellow-3,hex,scale.yellow.3,
--color-scale-yellow-4,hex,scale.yellow.4,
--color-scale-yellow-5,hex,scale.yellow.5,
--color-scale-yellow-6,hex,scale.yellow.6,
--color-scale-yellow-7,hex,scale.yellow.7,
--color-scale-yellow-8,hex,scale.yellow.8,
--color-scale-yellow-9,hex,scale.yellow.9,
,skip,,
--color-scale-orange-0,hex,scale.orange.0,
--color-scale-orange-1,hex,scale.orange.1,
--color-scale-orange-2,hex,scale.orange.2,
--color-scale-orange-3,hex,scale.orange.3,
--color-scale-orange-4,hex,scale.orange.4,
--color-scale-orange-5,hex,scale.orange.5,
--color-scale-orange-6,hex,scale.orange.6,
--color-scale-orange-7,hex,scale.orange.7,
--color-scale-orange-8,hex,scale.orange.8,
--color-scale-orange-9,hex,scale.orange.9,
,skip,,
--color-scale-red-0,hex,scale.red.0,
--color-scale-red-1,hex,scale.red.1,
--color-scale-red-2,hex,scale.red.2,
--color-scale-red-3,hex,scale.red.3,
--color-scale-red-4,hex,scale.red.4,
--color-scale-red-5,hex,scale.red.5,
--color-scale-red-6,hex,scale.red.6,
--color-scale-red-7,hex,scale.red.7,
--color-scale-red-8,hex,scale.red.8,
--color-scale-red-9,hex,scale.red.9,
,skip,,
--color-scale-purple-0,hex,scale.purple.0,
--color-scale-purple-1,hex,scale.purple.1,
--color-scale-purple-2,hex,scale.purple.2,
--color-scale-purple-3,hex,scale.purple.3,
--color-scale-purple-4,hex,scale.purple.4,
--color-scale-purple-5,hex,scale.purple.5,
--color-scale-purple-6,hex,scale.purple.6,
--color-scale-purple-7,hex,scale.purple.7,
--color-scale-purple-8,hex,scale.purple.8,
--color-scale-purple-9,hex,scale.purple.9,
,skip,,
--color-scale-pink-0,hex,scale.pink.0,
--color-scale-pink-1,hex,scale.pink.1,
--color-scale-pink-2,hex,scale.pink.2,
--color-scale-pink-3,hex,scale.pink.3,
--color-scale-pink-4,hex,scale.pink.4,
--color-scale-pink-5,hex,scale.pink.5,
--color-scale-pink-6,hex,scale.pink.6,
--color-scale-pink-7,hex,scale.pink.7,
--color-scale-pink-8,hex,scale.pink.8,
--color-scale-pink-9,hex,scale.pink.9,
,skip,,
--color-scale-coral-0,hex,scale.coral.0,
--color-scale-coral-1,hex,scale.coral.1,
--color-scale-coral-2,hex,scale.coral.2,
--color-scale-coral-3,hex,scale.coral.3,
--color-scale-coral-4,hex,scale.coral.4,
--color-scale-coral-5,hex,scale.coral.5,
--color-scale-coral-6,hex,scale.coral.6,
--color-scale-coral-7,hex,scale.coral.7,
--color-scale-coral-8,hex,scale.coral.8,
--color-scale-coral-9,hex,scale.coral.9,
